Player,ESPN_Player_ID,Representative_Team,Photo_URL,ESPN_Profile_URL
DA Payne,6c79c098,Sunrisers Hyderabad,https://a.espncdn.com/i/headshots/cricket/players/full/6c79c098.png,https://www.espncricinfo.com/cricketers/da-payne-6c79c098
DA Warner,dcce6f09,Delhi Capitals,https://a.espncdn.com/i/headshots/cricket/players/full/dcce6f09.png,https://www.espncricinfo.com/cricketers/da-warner-dcce6f09
DAJ Bracewell,2e9fdf9b,Delhi Daredevils,https://a.espncdn.com/i/headshots/cricket/players/full/2e9fdf9b.png,https://www.espncricinfo.com/cricketers/daj-bracewell-2e9fdf9b
DB Das,7050a1e7,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/7050a1e7.png,https://www.espncricinfo.com/cricketers/db-das-7050a1e7
DB Ravi Teja,b720a5d6,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/b720a5d6.png,https://www.espncricinfo.com/cricketers/db-ravi-teja-b720a5d6
DE Bollinger,45c2196c,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/45c2196c.png,https://www.espncricinfo.com/cricketers/de-bollinger-45c2196c
DG Nalkande,cd8d2859,Gujarat Titans,https://a.espncdn.com/i/headshots/cricket/players/full/cd8d2859.png,https://www.espncricinfo.com/cricketers/dg-nalkande-cd8d2859
DH Yagnik,063b3673,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/063b3673.png,https://www.espncricinfo.com/cricketers/dh-yagnik-063b3673
DJ Bravo,87e562a9,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/87e562a9.png,https://www.espncricinfo.com/cricketers/dj-bravo-87e562a9
DJ Harris,39f82db3,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/39f82db3.png,https://www.espncricinfo.com/cricketers/dj-harris-39f82db3
DJ Hooda,73ad96ed,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/73ad96ed.png,https://www.espncricinfo.com/cricketers/dj-hooda-73ad96ed
DJ Hussey,fd835ab3,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/fd835ab3.png,https://www.espncricinfo.com/cricketers/dj-hussey-fd835ab3
DJ Jacobs,a84468fe,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/a84468fe.png,https://www.espncricinfo.com/cricketers/dj-jacobs-a84468fe
DJ Malan,ad9c32a2,Punjab Kings,https://a.espncdn.com/i/headshots/cricket/players/full/ad9c32a2.png,https://www.espncricinfo.com/cricketers/dj-malan-ad9c32a2
DJ Mitchell,eade4650,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/eade4650.png,https://www.espncricinfo.com/cricketers/dj-mitchell-eade4650
DJ Muthuswami,2c76b512,Delhi Daredevils,https://a.espncdn.com/i/headshots/cricket/players/full/2c76b512.png,https://www.espncricinfo.com/cricketers/dj-muthuswami-2c76b512
DJ Thornely,7d3937ed,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/7d3937ed.png,https://www.espncricinfo.com/cricketers/dj-thornely-7d3937ed
DJ Willey,7f048519,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/7f048519.png,https://www.espncricinfo.com/cricketers/dj-willey-7f048519
DJG Sammy,c03c6200,Royal Challengers Bangalore,https://a.espncdn.com/i/headshots/cricket/players/full/c03c6200.png,https://www.espncricinfo.com/cricketers/djg-sammy-c03c6200
DJM Short,1a156c88,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/1a156c88.png,https://www.espncricinfo.com/cricketers/djm-short-1a156c88
DL Chahar,23eeb873,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/23eeb873.png,https://www.espncricinfo.com/cricketers/dl-chahar-23eeb873
DL Vettori,d7c6af50,Delhi Daredevils,https://a.espncdn.com/i/headshots/cricket/players/full/d7c6af50.png,https://www.espncricinfo.com/cricketers/dl-vettori-d7c6af50
DM Bravo,14b14cd8,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/14b14cd8.png,https://www.espncricinfo.com/cricketers/dm-bravo-14b14cd8
DNT Zoysa,e0351c86,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/e0351c86.png,https://www.espncricinfo.com/cricketers/dnt-zoysa-e0351c86
DP Conway,df5a6881,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/df5a6881.png,https://www.espncricinfo.com/cricketers/dp-conway-df5a6881
DP Nannes,c404f58a,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/c404f58a.png,https://www.espncricinfo.com/cricketers/dp-nannes-c404f58a
DP Vijaykumar,acd4f5dc,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/acd4f5dc.png,https://www.espncricinfo.com/cricketers/dp-vijaykumar-acd4f5dc
DPMD Jayawardene,d18f9182,Delhi Daredevils,https://a.espncdn.com/i/headshots/cricket/players/full/d18f9182.png,https://www.espncricinfo.com/cricketers/dpmd-jayawardene-d18f9182
DR Martyn,69762509,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/69762509.png,https://www.espncricinfo.com/cricketers/dr-martyn-69762509
DR Sams,caf69bf7,Delhi Capitals,https://a.espncdn.com/i/headshots/cricket/players/full/caf69bf7.png,https://www.espncricinfo.com/cricketers/dr-sams-caf69bf7
DR Shorey,faa7365d,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/faa7365d.png,https://www.espncricinfo.com/cricketers/dr-shorey-faa7365d
DR Smith,35205dfc,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/35205dfc.png,https://www.espncricinfo.com/cricketers/dr-smith-35205dfc
DS Kulkarni,d2a989fc,Gujarat Lions,https://a.espncdn.com/i/headshots/cricket/players/full/d2a989fc.png,https://www.espncricinfo.com/cricketers/ds-kulkarni-d2a989fc
DS Lehmann,53fe6ee4,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/53fe6ee4.png,https://www.espncricinfo.com/cricketers/ds-lehmann-53fe6ee4
DS Rathi,13fc5c6d,Lucknow Super Giants,https://a.espncdn.com/i/headshots/cricket/players/full/13fc5c6d.png,https://www.espncricinfo.com/cricketers/ds-rathi-13fc5c6d
DT Christian,2a2e6343,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/2a2e6343.png,https://www.espncricinfo.com/cricketers/dt-christian-2a2e6343
